Heure;Valeur
11:56;18123.0645
11:55;18118.7372
11:55;18117.5456
11:55;18117.577
11:55;18118.7372
11:55;18118.7456
11:55;18118.8126
11:54;18118.9047
11:54;18118.8557
11:54;18125.6053
11:53;18125.6436
11:53;18122.5682
11:53;18113.6296
11:53;18113.661
11:53;18113.6923
11:53;18113.8177
11:53;18113.9118
11:53;18113.9432
11:53;18114.2567
11:53;18114.4135
11:53;18114.4449
11:53;18114.8839
11:53;18114.9152
11:53;18114.9466
11:53;18115.0093
11:53;18115.1975
11:52;18115.511
11:52;18115.9132
11:52;18116.3154
11:52;18116.7176
11:52;18117.9242
11:52;18118.3264
11:52;18118.6399
11:50;18118.3264
11:50;18118.3577
11:50;18118.3891
11:50;18118.9535
11:49;18118.3264
11:49;18063.3266
11:48;18064.6109
11:48;18064.3425
11:48;18065.591
11:48;18073.0822
11:47;18074.4303
11:46;18062.6211
11:46;18062.6279
11:46;18062.6211
11:46;18062.6233
11:46;18062.6255
11:46;18062.9019
11:46;18062.8345
11:46;18062.9019
11:46;18063.1815
11:45;18062.8739
11:45;18062.8823
11:44;18063.4518
11:44;18063.4412
11:44;18064.2455
11:44;18063.6721
11:44;18062.4648
11:44;18061.9631
11:44;18061.341
11:43;18053.8498
11:43;18054.0379
11:43;18054.3515
11:43;18054.3829
11:43;18057.4245
11:43;18057.5151
11:43;18057.6056
11:43;18057.7867
11:43;18058.0281
11:43;18054.9865
11:43;18055.0806
11:43;18055.1433
11:43;18055.2687
11:43;18055.645
11:42;18056.2094
11:42;18058.0909
11:42;18059.3394
11:42;18057.458
11:42;18057.5207
11:42;18057.6461
11:42;18058.0851
11:42;18058.1478
11:42;18058.1792
11:42;18058.2105
11:42;18058.7123
11:42;18059.0258
11:42;18059.0885
11:42;18059.3394
11:42;18059.3073
11:42;18059.0183
11:42;18058.6973
11:41;18058.0551
11:41;18058.2376
11:41;18059.8793
11:41;18065.7824
11:41;18062.134
11:41;18062.1233
11:41;18073.6735
11:41;18073.6709
11:41;18073.6706
11:39;18073.6472
11:39;18074.2508
11:38;18068.2477
11:38;18068.8698
11:38;18069.3281
11:38;18069.7865
11:38;18096.3697
11:38;18096.2849
11:38;18096.3849
11:38;18099.0863
11:37;18100.287
11:37;18100.19
11:36;18094.7618
11:36;18095.3839
11:36;18095.9863
11:36;18096.0051
11:36;18096.007
11:36;18096.024
11:36;18096.0428
11:36;18096.0805
11:35;18094.8799
11:35;18094.7124
11:33;18093.4561
11:33;18092.6517
11:33;18093.4561
11:33;18093.6562
11:33;18094.1564
11:33;18093.6562
11:33;18088.3734
11:32;18088.3731
11:32;18088.3104
11:31;18088.3731
11:31;18087.9628
11:31;18087.8314
11:31;18086.9909
11:31;18085.7424
11:30;18116.4506
11:30;18116.861
11:30;18116.187
11:29;18116.861
11:29;18116.4841
11:29;18116.9866
11:29;18117.4892
11:29;18117.7404
11:29;18117.9917
11:29;18118.243
11:29;18120.2531
11:29;18120.5043
11:29;18125.2783
11:29;18127.2884
11:28;18130.0523
11:28;18129.8522
11:28;18132.5384
11:27;18133.0828
11:27;18127.6904
11:27;18128.3645
11:27;18130.7237
11:27;18131.0607
11:27;18133.0828
11:27;18153.1491
11:27;18149.5007
11:27;18144.0281
11:27;18134.907
11:27;18134.3034
11:27;18134.5035
11:26;18135.504
11:26;18135.9062
11:26;18136.0886
11:26;18139.5546
11:25;18141.3788
11:25;18142.2909
11:25;18141.3788
11:25;18141.3964
11:25;18141.5716
11:24;18141.9396
11:24;18142.122
11:24;18142.3044
11:24;18142.4868
11:24;18142.6693
11:24;18143.7638
